POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.03,250,5,43,4016,239
100,0.7,0.03,500,5,38,2750,229
100,0.7,0.03,750,5,32,1739,173
100,0.7,0.03,1000,5,29,1262,164
100,0.7,0.03,1250,5,27,997,127
100,0.7,0.03,1500,5,25,741,90
100,0.7,0.03,1750,5,23,609,75
100,0.7,0.03,2000,5,22,533,65
100,0.7,0.03,2250,5,22,486,56
100,0.7,0.03,2500,5,20,445,52
100,0.7,0.03,2750,5,19,406,47
100,0.7,0.03,3000,5,17,384,45
100,0.7,0.03,3250,5,17,376,46
100,0.7,0.03,3500,5,17,371,45
100,0.7,0.03,3750,5,16,342,42
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.03,4250,5,16,320,36
100,0.7,0.03,4500,5,16,304,33
100,0.7,0.03,4750,5,16,300,34
100,0.7,0.03,5000,5,16,300,34
100,0.7,0.03,5250,5,16,297,35
100,0.7,0.03,5500,5,16,297,35
100,0.7,0.03,5750,5,16,297,35
100,0.7,0.03,6000,5,16,297,35
100,0.7,0.03,6250,5,16,297,35
100,0.7,0.03,6500,5,16,297,35
100,0.7,0.03,6750,5,16,297,35
100,0.7,0.03,7000,5,16,297,35
100,0.7,0.03,7250,5,16,297,35
100,0.7,0.03,7500,5,16,297,35
100,0.7,0.03,7750,5,16,297,35
100,0.7,0.03,8000,5,16,297,35
100,0.7,0.03,8250,5,16,297,35
100,0.7,0.03,8500,5,16,297,35
100,0.7,0.03,8750,5,16,297,35
100,0.7,0.03,9000,5,16,295,34
100,0.7,0.03,9250,5,16,295,34
100,0.7,0.03,9500,5,16,295,34
100,0.7,0.03,9750,5,16,295,34
100,0.7,0.03,250,5,43,4016,239
100,0.7,0.03,500,5,38,2750,229
100,0.7,0.03,750,5,32,1739,173
100,0.7,0.03,1000,5,29,1262,164
100,0.7,0.03,1250,5,27,997,127
100,0.7,0.03,1500,5,25,741,90
100,0.7,0.03,1750,5,23,609,75
100,0.7,0.03,2000,5,22,533,65
100,0.7,0.03,2250,5,22,486,56
100,0.7,0.03,2500,5,20,445,52
100,0.7,0.03,2750,5,19,406,47
100,0.7,0.03,3000,5,17,384,45
100,0.7,0.03,3250,5,17,376,46
100,0.7,0.03,3500,5,17,371,45
100,0.7,0.03,3750,5,16,342,42
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.03,4250,5,16,320,36
100,0.7,0.03,4500,5,16,304,33
100,0.7,0.03,4750,5,16,300,34
100,0.7,0.03,5000,5,16,300,34
100,0.7,0.03,5250,5,16,297,35
100,0.7,0.03,5500,5,16,297,35
100,0.7,0.03,5750,5,16,297,35
100,0.7,0.03,6000,5,16,297,35
100,0.7,0.03,6250,5,16,297,35
100,0.7,0.03,6500,5,16,297,35
100,0.7,0.03,6750,5,16,297,35
100,0.7,0.03,7000,5,16,297,35
100,0.7,0.03,7250,5,16,297,35
100,0.7,0.03,7500,5,16,297,35
100,0.7,0.03,7750,5,16,297,35
100,0.7,0.03,8000,5,16,297,35
100,0.7,0.03,8250,5,16,297,35
100,0.7,0.03,8500,5,16,297,35
100,0.7,0.03,8750,5,16,297,35
100,0.7,0.03,9000,5,16,295,34
100,0.7,0.03,9250,5,16,295,34
100,0.7,0.03,9500,5,16,295,34
100,0.7,0.03,9750,5,16,295,34
100,0.7,0.03,250,5,43,4016,239
100,0.7,0.03,500,5,38,2750,229
100,0.7,0.03,750,5,32,1739,173
100,0.7,0.03,1000,5,29,1262,164
100,0.7,0.03,1250,5,27,997,127
100,0.7,0.03,1500,5,25,741,90
100,0.7,0.03,1750,5,23,609,75
100,0.7,0.03,2000,5,22,533,65
100,0.7,0.03,2250,5,22,486,56
100,0.7,0.03,2500,5,20,445,52
100,0.7,0.03,2750,5,19,406,47
100,0.7,0.03,3000,5,17,384,45
100,0.7,0.03,3250,5,17,376,46
100,0.7,0.03,3500,5,17,371,45
100,0.7,0.03,3750,5,16,342,42
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.03,4250,5,16,320,36
100,0.7,0.03,4500,5,16,304,33
100,0.7,0.03,4750,5,16,300,34
100,0.7,0.03,5000,5,16,300,34
100,0.7,0.03,5250,5,16,297,35
100,0.7,0.03,5500,5,16,297,35
100,0.7,0.03,5750,5,16,297,35
100,0.7,0.03,6000,5,16,297,35
100,0.7,0.03,6250,5,16,297,35
100,0.7,0.03,6500,5,16,297,35
100,0.7,0.03,6750,5,16,297,35
100,0.7,0.03,7000,5,16,297,35
100,0.7,0.03,7250,5,16,297,35
100,0.7,0.03,7500,5,16,297,35
100,0.7,0.03,7750,5,16,297,35
100,0.7,0.03,8000,5,16,297,35
100,0.7,0.03,8250,5,16,297,35
100,0.7,0.03,8500,5,16,297,35
100,0.7,0.03,8750,5,16,297,35
100,0.7,0.03,9000,5,16,295,34
100,0.7,0.03,9250,5,16,295,34
100,0.7,0.03,9500,5,16,295,34
100,0.7,0.03,9750,5,16,295,34
