POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
25,0.7,0.03,4000,5,38,1054,100
50,0.7,0.03,4000,5,27,571,59
75,0.7,0.03,4000,5,17,365,52
100,0.7,0.03,4000,5,16,330,37
125,0.7,0.03,4000,5,36,574,56
150,0.7,0.03,4000,5,25,481,65
175,0.7,0.03,4000,5,27,523,47
200,0.7,0.03,4000,5,29,448,51
225,0.7,0.03,4000,5,37,465,42
250,0.7,0.03,4000,5,16,346,48
275,0.7,0.03,4000,5,16,300,51
300,0.7,0.03,4000,5,21,370,46
325,0.7,0.03,4000,5,17,245,44
350,0.7,0.03,4000,5,25,337,39
375,0.7,0.03,4000,5,16,154,28
400,0.7,0.03,4000,5,18,231,44
425,0.7,0.03,4000,5,18,263,35
450,0.7,0.03,4000,5,23,248,39
475,0.7,0.03,4000,5,17,194,33
500,0.7,0.03,4000,5,17,294,39
525,0.7,0.03,4000,5,21,312,45
550,0.7,0.03,4000,5,15,180,32
575,0.7,0.03,4000,5,15,210,33
600,0.7,0.03,4000,5,16,207,41
625,0.7,0.03,4000,5,17,468,51
650,0.7,0.03,4000,5,14,100,31
675,0.7,0.03,4000,5,16,255,39
700,0.7,0.03,4000,5,22,296,41
725,0.7,0.03,4000,5,16,260,41
750,0.7,0.03,4000,5,15,122,29
775,0.7,0.03,4000,5,16,155,26
800,0.7,0.03,4000,5,16,302,27
825,0.7,0.03,4000,5,15,232,38
850,0.7,0.03,4000,5,16,177,36
875,0.7,0.03,4000,5,29,532,47
900,0.7,0.03,4000,5,16,206,35
925,0.7,0.03,4000,5,17,389,50
950,0.7,0.03,4000,5,15,116,30
975,0.7,0.03,4000,5,15,224,43
25,0.7,0.03,4000,5,38,1054,100
50,0.7,0.03,4000,5,27,571,59
75,0.7,0.03,4000,5,17,365,52
100,0.7,0.03,4000,5,16,330,37
125,0.7,0.03,4000,5,36,574,56
150,0.7,0.03,4000,5,25,481,65
175,0.7,0.03,4000,5,27,523,47
200,0.7,0.03,4000,5,29,448,51
225,0.7,0.03,4000,5,37,465,42
250,0.7,0.03,4000,5,16,346,48
275,0.7,0.03,4000,5,16,300,51
300,0.7,0.03,4000,5,21,370,46
325,0.7,0.03,4000,5,17,245,44
350,0.7,0.03,4000,5,25,337,39
375,0.7,0.03,4000,5,16,154,28
400,0.7,0.03,4000,5,18,231,44
425,0.7,0.03,4000,5,18,263,35
450,0.7,0.03,4000,5,23,248,39
475,0.7,0.03,4000,5,17,194,33
500,0.7,0.03,4000,5,17,294,39
525,0.7,0.03,4000,5,21,312,45
550,0.7,0.03,4000,5,15,180,32
575,0.7,0.03,4000,5,15,210,33
600,0.7,0.03,4000,5,16,207,41
625,0.7,0.03,4000,5,17,468,51
650,0.7,0.03,4000,5,14,100,31
675,0.7,0.03,4000,5,16,255,39
700,0.7,0.03,4000,5,22,296,41
725,0.7,0.03,4000,5,16,260,41
750,0.7,0.03,4000,5,15,122,29
775,0.7,0.03,4000,5,16,155,26
800,0.7,0.03,4000,5,16,302,27
825,0.7,0.03,4000,5,15,232,38
850,0.7,0.03,4000,5,16,177,36
875,0.7,0.03,4000,5,29,532,47
900,0.7,0.03,4000,5,16,206,35
925,0.7,0.03,4000,5,17,389,50
950,0.7,0.03,4000,5,15,116,30
975,0.7,0.03,4000,5,15,224,43
25,0.7,0.03,4000,5,38,1054,100
50,0.7,0.03,4000,5,27,571,59
75,0.7,0.03,4000,5,17,365,52
100,0.7,0.03,4000,5,16,330,37
125,0.7,0.03,4000,5,36,574,56
150,0.7,0.03,4000,5,25,481,65
175,0.7,0.03,4000,5,27,523,47
200,0.7,0.03,4000,5,29,448,51
225,0.7,0.03,4000,5,37,465,42
250,0.7,0.03,4000,5,16,346,48
275,0.7,0.03,4000,5,16,300,51
300,0.7,0.03,4000,5,21,370,46
325,0.7,0.03,4000,5,17,245,44
350,0.7,0.03,4000,5,25,337,39
375,0.7,0.03,4000,5,16,154,28
400,0.7,0.03,4000,5,18,231,44
425,0.7,0.03,4000,5,18,263,35
450,0.7,0.03,4000,5,23,248,39
475,0.7,0.03,4000,5,17,194,33
500,0.7,0.03,4000,5,17,294,39
525,0.7,0.03,4000,5,21,312,45
550,0.7,0.03,4000,5,15,180,32
575,0.7,0.03,4000,5,15,210,33
600,0.7,0.03,4000,5,16,207,41
625,0.7,0.03,4000,5,17,468,51
650,0.7,0.03,4000,5,14,100,31
675,0.7,0.03,4000,5,16,255,39
700,0.7,0.03,4000,5,22,296,41
725,0.7,0.03,4000,5,16,260,41
750,0.7,0.03,4000,5,15,122,29
775,0.7,0.03,4000,5,16,155,26
800,0.7,0.03,4000,5,16,302,27
825,0.7,0.03,4000,5,15,232,38
850,0.7,0.03,4000,5,16,177,36
875,0.7,0.03,4000,5,29,532,47
900,0.7,0.03,4000,5,16,206,35
925,0.7,0.03,4000,5,17,389,50
950,0.7,0.03,4000,5,15,116,30
975,0.7,0.03,4000,5,15,224,43
