POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,1.0,0.01,4000,5,18,175,31
100,1.0,0.03,4000,5,20,373,58
100,1.0,0.05,4000,5,23,672,102
100,1.0,0.07,4000,5,36,1259,124
100,1.0,0.09000000000000001,4000,5,32,1337,160
100,1.0,0.11000000000000001,4000,5,37,2007,174
100,1.0,0.13,4000,5,42,2332,192
100,1.0,0.15,4000,5,32,1887,178
100,1.0,0.16999999999999998,4000,5,40,2474,215
100,1.0,0.18999999999999997,4000,5,46,3044,244
100,1.0,0.20999999999999996,4000,5,35,2434,188
100,1.0,0.22999999999999995,4000,5,44,2222,210
100,1.0,0.24999999999999994,4000,5,41,3027,227
100,0.95,0.01,4000,5,21,286,45
100,0.95,0.03,4000,5,25,412,48
100,0.95,0.05,4000,5,27,766,104
100,0.95,0.07,4000,5,34,1001,112
100,0.95,0.09000000000000001,4000,5,38,1477,142
100,0.95,0.11000000000000001,4000,5,31,1735,168
100,0.95,0.13,4000,5,37,1899,175
100,0.95,0.15,4000,5,40,2314,217
100,0.95,0.16999999999999998,4000,5,39,2477,202
100,0.95,0.18999999999999997,4000,5,48,3787,254
100,0.95,0.20999999999999996,4000,5,39,2863,243
100,0.95,0.22999999999999995,4000,5,41,2699,231
100,0.95,0.24999999999999994,4000,5,39,2676,268
100,0.8999999999999999,0.01,4000,5,15,165,41
100,0.8999999999999999,0.03,4000,5,30,466,55
100,0.8999999999999999,0.05,4000,5,33,1093,112
100,0.8999999999999999,0.07,4000,5,44,1785,187
100,0.8999999999999999,0.09000000000000001,4000,5,37,1837,184
100,0.8999999999999999,0.11000000000000001,4000,5,35,2082,228
100,0.8999999999999999,0.13,4000,5,39,2182,237
100,0.8999999999999999,0.15,4000,5,40,2215,197
100,0.8999999999999999,0.16999999999999998,4000,5,39,2302,204
100,0.8999999999999999,0.18999999999999997,4000,5,40,2398,215
100,0.8999999999999999,0.20999999999999996,4000,5,44,2416,181
100,0.8999999999999999,0.22999999999999995,4000,5,39,2485,202
100,0.8999999999999999,0.24999999999999994,4000,5,41,3040,248
100,0.8499999999999999,0.01,4000,5,15,240,37
100,0.8499999999999999,0.03,4000,5,21,355,51
100,0.8499999999999999,0.05,4000,5,39,989,99
100,0.8499999999999999,0.07,4000,5,32,1185,129
100,0.8499999999999999,0.09000000000000001,4000,5,34,1790,196
100,0.8499999999999999,0.11000000000000001,4000,5,37,2076,168
100,0.8499999999999999,0.13,4000,5,41,1996,173
100,0.8499999999999999,0.15,4000,5,41,2289,226
100,0.8499999999999999,0.16999999999999998,4000,5,42,2297,183
100,0.8499999999999999,0.18999999999999997,4000,5,41,3087,250
100,0.8499999999999999,0.20999999999999996,4000,5,40,2670,238
100,0.8499999999999999,0.22999999999999995,4000,5,37,2359,208
100,0.8499999999999999,0.24999999999999994,4000,5,44,3147,248
100,0.7999999999999998,0.01,4000,5,21,332,50
100,0.7999999999999998,0.03,4000,5,34,515,71
100,0.7999999999999998,0.05,4000,5,29,1138,112
100,0.7999999999999998,0.07,4000,5,32,1111,98
100,0.7999999999999998,0.09000000000000001,4000,5,30,1538,194
100,0.7999999999999998,0.11000000000000001,4000,5,46,2739,237
100,0.7999999999999998,0.13,4000,5,35,2268,222
100,0.7999999999999998,0.15,4000,5,39,2048,184
100,0.7999999999999998,0.16999999999999998,4000,5,34,2589,197
100,0.7999999999999998,0.18999999999999997,4000,5,42,3128,264
100,0.7999999999999998,0.20999999999999996,4000,5,49,3037,291
100,0.7999999999999998,0.22999999999999995,4000,5,43,3610,254
100,0.7999999999999998,0.24999999999999994,4000,5,45,3695,309
100,0.7499999999999998,0.01,4000,5,16,319,49
100,0.7499999999999998,0.03,4000,5,22,507,63
100,0.7499999999999998,0.05,4000,5,42,1299,100
100,0.7499999999999998,0.07,4000,5,31,1208,134
100,0.7499999999999998,0.09000000000000001,4000,5,33,1625,184
100,0.7499999999999998,0.11000000000000001,4000,5,39,1984,136
100,0.7499999999999998,0.13,4000,5,40,2846,213
100,0.7499999999999998,0.15,4000,5,40,2475,178
100,0.7499999999999998,0.16999999999999998,4000,5,47,2687,265
100,0.7499999999999998,0.18999999999999997,4000,5,10042,2795,231
100,0.7499999999999998,0.20999999999999996,4000,5,43,2564,171
100,0.7499999999999998,0.22999999999999995,4000,5,41,3790,259
100,0.7499999999999998,0.24999999999999994,4000,5,10043,3525,237
100,0.6999999999999997,0.01,4000,5,25,316,39
100,0.6999999999999997,0.03,4000,5,16,330,37
100,0.6999999999999997,0.05,4000,5,40,779,91
100,0.6999999999999997,0.07,4000,5,10040,1132,130
100,0.6999999999999997,0.09000000000000001,4000,5,40,2157,219
100,0.6999999999999997,0.11000000000000001,4000,5,41,2487,204
100,0.6999999999999997,0.13,4000,5,44,2183,230
100,0.6999999999999997,0.15,4000,5,40,3103,205
100,0.6999999999999997,0.16999999999999998,4000,5,10039,2899,259
100,0.6999999999999997,0.18999999999999997,4000,5,42,3268,276
100,0.6999999999999997,0.20999999999999996,4000,5,42,3250,274
100,0.6999999999999997,0.22999999999999995,4000,5,45,3437,240
100,0.6999999999999997,0.24999999999999994,4000,5,37,3236,202
100,0.6499999999999997,0.01,4000,5,38,505,42
100,0.6499999999999997,0.03,4000,5,25,507,53
100,0.6499999999999997,0.05,4000,5,33,1165,129
100,0.6499999999999997,0.07,4000,5,34,1411,151
100,0.6499999999999997,0.09000000000000001,4000,5,38,2315,229
100,0.6499999999999997,0.11000000000000001,4000,5,38,2308,219
100,0.6499999999999997,0.13,4000,5,10041,2517,217
100,0.6499999999999997,0.15,4000,5,40,2694,212
100,0.6499999999999997,0.16999999999999998,4000,5,44,3377,273
100,0.6499999999999997,0.18999999999999997,4000,5,45,3537,274
100,0.6499999999999997,0.20999999999999996,4000,5,45,3160,231
100,0.6499999999999997,0.22999999999999995,4000,5,43,3455,205
100,0.6499999999999997,0.24999999999999994,4000,5,42,3454,199
100,0.5999999999999996,0.01,4000,5,16,318,56
100,0.5999999999999996,0.03,4000,5,16,338,44
100,0.5999999999999996,0.05,4000,5,33,1111,128
100,0.5999999999999996,0.07,4000,5,36,1279,142
100,0.5999999999999996,0.09000000000000001,4000,5,44,2112,166
100,0.5999999999999996,0.11000000000000001,4000,5,41,2478,246
100,0.5999999999999996,0.13,4000,5,43,2604,224
100,0.5999999999999996,0.15,4000,5,44,3448,317
100,0.5999999999999996,0.16999999999999998,4000,5,36,2959,241
100,0.5999999999999996,0.18999999999999997,4000,5,45,3703,271
100,0.5999999999999996,0.20999999999999996,4000,5,20045,4075,320
100,0.5999999999999996,0.22999999999999995,4000,5,43,3910,331
100,0.5999999999999996,0.24999999999999994,4000,5,43,3822,290
100,0.5499999999999996,0.01,4000,5,20,280,34
100,0.5499999999999996,0.03,4000,5,29,571,61
100,0.5499999999999996,0.05,4000,5,32,899,99
100,0.5499999999999996,0.07,4000,5,34,1399,170
100,0.5499999999999996,0.09000000000000001,4000,5,32,1695,184
100,0.5499999999999996,0.11000000000000001,4000,5,38,2670,254
100,0.5499999999999996,0.13,4000,5,10039,2921,267
