PRODUCT,PROCESS,MACHINE,TIME_SLOT
Cookie,Assembly,5,2
Hose,Assembly,6,2
Hose,Assembly,7,2
Bolts,Assembly,8,2
Cookie,Assembly,12,3
Cookie,Testing,15,3
Cake,Assembly,18,3
Hose,Testing,4,4
Bolts,Assembly,11,4
Bolts,Assembly,18,4
Bolts,Testing,3,4
Bolts,Packaging,8,4
Cookie,Loading,11,5
Cake,Assembly,14,5
Plumbus,Testing,4,6
Cake,Assembly,17,6
Bolts,Loading,6,6
EV car,Assembly,2,7
Hose,Assembly,2,7
Hose,Testing,14,7
Plumbus,Assembly,20,7
Cookie,Packaging,10,8
Plumbus,Assembly,2,9
Bolts,Assembly,19,9
Cookie,Loading,8,10
EV car,Assembly,15,10
Plumbus,Assembly,14,11
Bolts,Assembly,16,11
Cookie,Assembly,15,12
Plumbus,Assembly,15,12
Bomb,Testing,7,12
Bomb,Packaging,7,12
Bomb,Packaging,8,12
Cake,Loading,5,12
Bolts,Assembly,14,12
Cookie,Testing,10,13
Cookie,Assembly,12,14
EV car,Assembly,21,14
Bolts,Packaging,1,14
Cookie,Testing,4,15
Hose,Testing,15,15
Cake,Assembly,2,15
Cookie,Assembly,1,16
Cookie,Packaging,1,16
Bolts,Assembly,6,16
Cookie,Assembly,5,17
Bomb,Assembly,5,17
Bolts,Loading,2,17
Cookie,Testing,12,18
Hose,Assembly,18,18
Bolts,Loading,4,19
Cookie,Testing,7,20
Cookie,Loading,1,20
Hose,Testing,6,20
Bolts,Testing,3,20
Hose,Assembly,3,21
Bolts,Assembly,19,21
Bolts,Testing,11,21
Cookie,Assembly,6,22
EV car,Assembly,11,22
Bolts,Assembly,10,22
Cookie,Assembly,16,23
Cookie,Assembly,17,23
EV car,Assembly,2,23
EV car,Testing,6,23
Hose,Packaging,7,23
Hose,Loading,3,23
Plumbus,Loading,7,23
Bomb,Testing,5,23
Cake,Assembly,13,23
Bolts,Testing,15,23
Cookie,Assembly,5,24
Cookie,Testing,13,24
EV car,Testing,4,24
Hose,Assembly,6,24
Bomb,Assembly,10,24
Hose,Testing,1,25
Hose,Packaging,10,25
Bolts,Assembly,19,25
Hose,Testing,3,26
Bomb,Assembly,10,26
Bomb,Assembly,12,26
Bolts,Testing,3,26
Cookie,Testing,8,27
EV car,Assembly,13,27
Hose,Packaging,1,27
Bomb,Assembly,14,27
Bolts,Assembly,19,27
EV car,Packaging,12,28
Bomb,Packaging,8,28
Bolts,Assembly,12,28
Cookie,Assembly,18,29
Plumbus,Testing,14,29
Plumbus,Loading,12,29
Cookie,Testing,1,30
EV car,Assembly,16,30
Plumbus,Assembly,16,30
Cake,Testing,3,30
Cake,Testing,4,30
Bolts,Assembly,5,30
Cookie,Loading,6,31
Hose,Assembly,15,31
Bolts,Packaging,3,31
Cookie,Assembly,13,32
EV car,Assembly,10,32
Hose,Assembly,2,32
Hose,Assembly,8,32
Bomb,Assembly,16,32
Bomb,Loading,10,32
Bomb,Loading,12,32
Bomb,Loading,6,32
Bolts,Assembly,8,32
Bolts,Loading,7,32
Cookie,Packaging,3,33
Cookie,Loading,11,33
Plumbus,Packaging,4,33
Bolts,Testing,7,33
Bolts,Packaging,13,33
Bolts,Loading,10,34
Hose,Assembly,18,35
Hose,Assembly,19,35
Bolts,Testing,12,35
Hose,Assembly,8,36
Hose,Testing,3,36
Bolts,Testing,11,36
Cookie,Testing,14,37
Cookie,Packaging,2,38
Hose,Testing,8,38
Plumbus,Assembly,19,38
Hose,Assembly,2,39
EV car,Assembly,16,40
EV car,Testing,9,40
Bomb,Testing,1,40
Bomb,Testing,3,40
Plumbus,Testing,2,41
Bomb,Loading,8,41
Cake,Packaging,1,41
Bomb,Assembly,20,42
Cookie,Testing,15,43
Hose,Testing,8,43
Cookie,Packaging,10,44
Plumbus,Loading,10,44
Cake,Assembly,22,44
EV car,Packaging,1,45
Hose,Assembly,19,45
Hose,Packaging,7,45
Bolts,Assembly,14,45
Bolts,Packaging,10,45
Hose,Testing,8,46
Cake,Testing,9,46
Bolts,Assembly,9,46
Cookie,Testing,10,47
Cookie,Loading,3,47
Cookie,Loading,1,47
Cake,Assembly,17,47
Bolts,Assembly,20,47
Bolts,Assembly,16,47
Cookie,Packaging,1,48
EV car,Assembly,12,48
Hose,Testing,1,49
Bolts,Assembly,16,49
Bolts,Packaging,8,49
Cookie,Assembly,4,50
Cookie,Assembly,3,50
Cookie,Loading,12,50
EV car,Packaging,7,50
Plumbus,Assembly,8,50
Plumbus,Packaging,5,50
Cake,Packaging,4,50
Cookie,Loading,12,51
EV car,Loading,11,52
Bolts,Assembly,22,52
Cookie,Assembly,18,53
Cookie,Testing,8,53
EV car,Loading,5,53
Cake,Testing,2,53
Hose,Packaging,2,54
Hose,Loading,8,54
Hose,Loading,2,54
EV car,Packaging,3,56
Hose,Testing,4,56
Cake,Testing,15,56
Cookie,Packaging,6,57
EV car,Loading,12,57
Bolts,Testing,13,57
