POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,1.0,0.01,4000,4,16,214,38
100,0.96,0.01,4000,4,16,210,44
100,0.9199999999999999,0.01,4000,4,16,126,30
100,0.8799999999999999,0.01,4000,4,17,195,34
100,0.8399999999999999,0.01,4000,4,15,115,25
100,0.7999999999999998,0.01,4000,4,15,199,43
100,0.7599999999999998,0.01,4000,4,16,159,30
100,0.7199999999999998,0.01,4000,4,14,150,29
100,0.6799999999999997,0.01,4000,4,15,173,38
100,0.6399999999999997,0.01,4000,4,16,143,33
100,0.5999999999999996,0.01,4000,4,16,170,40
100,0.5599999999999996,0.01,4000,4,15,165,34
100,0.5199999999999996,0.01,4000,4,15,274,36
100,0.4799999999999996,0.01,4000,4,16,159,43
100,0.4399999999999996,0.01,4000,4,15,95,26
100,0.39999999999999963,0.01,4000,4,16,126,32
100,0.35999999999999965,0.01,4000,4,16,248,43
100,0.3199999999999997,0.01,4000,4,19,176,31
100,0.2799999999999997,0.01,4000,4,15,143,37
100,0.23999999999999969,0.01,4000,4,16,242,41
100,0.19999999999999968,0.01,4000,4,17,294,42
100,0.15999999999999967,0.01,4000,4,16,159,29
100,0.11999999999999966,0.01,4000,4,17,205,38
100,0.07999999999999965,0.01,4000,4,15,115,31
100,0.039999999999999654,0.01,4000,4,16,190,28
