POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.85,0.005,4000,4,18,144,34
100,0.85,0.015,4000,4,17,252,39
100,0.85,0.025,4000,4,19,352,48
100,0.85,0.035,4000,4,19,500,52
100,0.85,0.045000000000000005,4000,4,21,734,57
100,0.85,0.05500000000000001,4000,4,21,760,85
100,0.85,0.065,4000,4,25,1007,78
100,0.85,0.075,4000,4,22,1062,78
100,0.85,0.08499999999999999,4000,4,37,2176,145
100,0.85,0.09499999999999999,4000,4,34,1921,148
100,0.85,0.10499999999999998,4000,4,25,1054,85
100,0.85,0.11499999999999998,4000,4,31,1337,130
100,0.85,0.12499999999999997,4000,4,38,1901,129
100,0.85,0.13499999999999998,4000,4,29,1561,147
100,0.85,0.145,4000,4,27,1488,91
100,0.85,0.155,4000,4,32,1455,129
100,0.85,0.165,4000,4,35,1907,114
100,0.85,0.17500000000000002,4000,4,36,2091,165
100,0.85,0.18500000000000003,4000,4,32,2104,131
100,0.85,0.19500000000000003,4000,4,29,1552,98
100,0.85,0.20500000000000004,4000,4,32,2004,128
100,0.85,0.21500000000000005,4000,4,43,2134,129
100,0.85,0.22500000000000006,4000,4,37,2466,151
100,0.85,0.23500000000000007,4000,4,32,2173,168
100,0.85,0.24500000000000008,4000,4,45,2449,197
100,0.85,0.25500000000000006,4000,4,35,2405,141
100,0.85,0.26500000000000007,4000,4,33,2206,143
100,0.85,0.2750000000000001,4000,4,35,2619,165
100,0.85,0.2850000000000001,4000,4,34,2238,134
100,0.85,0.2950000000000001,4000,4,39,2178,168
100,0.85,0.3050000000000001,4000,4,38,2524,169
