POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.85,0.01,250,4,31,1802,143
100,0.85,0.01,500,4,28,1152,117
100,0.85,0.01,750,4,23,685,85
100,0.85,0.01,1000,4,22,458,62
100,0.85,0.01,1250,4,18,393,62
100,0.85,0.01,1500,4,18,266,47
100,0.85,0.01,1750,4,18,221,41
100,0.85,0.01,2000,4,17,200,41
100,0.85,0.01,2250,4,16,192,39
100,0.85,0.01,2500,4,16,156,33
100,0.85,0.01,2750,4,16,130,32
100,0.85,0.01,3000,4,16,128,32
100,0.85,0.01,3250,4,16,122,31
100,0.85,0.01,3500,4,15,113,29
100,0.85,0.01,3750,4,15,113,29
100,0.85,0.01,4000,4,15,110,29
100,0.85,0.01,4250,4,15,106,28
100,0.85,0.01,4500,4,15,99,27
100,0.85,0.01,4750,4,14,95,26
100,0.85,0.01,5000,4,14,95,26
