POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
25,0.85,0.01,4000,4,18,333,57
50,0.85,0.01,4000,4,17,283,36
75,0.85,0.01,4000,4,16,143,32
100,0.85,0.01,4000,4,15,110,29
125,0.85,0.01,4000,4,16,186,35
150,0.85,0.01,4000,4,16,166,38
175,0.85,0.01,4000,4,17,250,48
200,0.85,0.01,4000,4,15,140,32
225,0.85,0.01,4000,4,16,124,32
250,0.85,0.01,4000,4,16,141,32
275,0.85,0.01,4000,4,15,187,45
300,0.85,0.01,4000,4,17,285,42
325,0.85,0.01,4000,4,15,109,38
350,0.85,0.01,4000,4,16,224,37
375,0.85,0.01,4000,4,15,126,34
400,0.85,0.01,4000,4,15,93,25
425,0.85,0.01,4000,4,16,230,49
450,0.85,0.01,4000,4,16,257,42
475,0.85,0.01,4000,4,16,86,29
500,0.85,0.01,4000,4,14,142,41
525,0.85,0.01,4000,4,15,83,24
550,0.85,0.01,4000,4,16,187,29
575,0.85,0.01,4000,4,15,132,34
