POPULATION_SIZE,CXPB,MUTPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
200,0.95,0.675,5000,5,20,565,78
200,0.94,0.675,5000,5,31,957,92
200,0.9299999999999999,0.675,5000,5,31,1016,98
200,0.9199999999999999,0.675,5000,5,25,688,76
200,0.9099999999999999,0.675,5000,5,24,484,57
200,0.8999999999999999,0.675,5000,5,26,547,80
200,0.8899999999999999,0.675,5000,5,29,779,113
200,0.8799999999999999,0.675,5000,5,34,1078,87
200,0.8699999999999999,0.675,5000,5,26,629,79
200,0.8599999999999999,0.675,5000,5,23,630,81
200,0.8499999999999999,0.675,5000,5,40,722,75
200,0.8399999999999999,0.675,5000,5,23,572,81
200,0.8299999999999998,0.675,5000,5,35,1854,165
200,0.8199999999999998,0.675,5000,5,24,684,100
200,0.8099999999999998,0.675,5000,5,23,606,92
200,0.7999999999999998,0.675,5000,5,27,955,93
200,0.7899999999999998,0.675,5000,5,43,1332,103
200,0.7799999999999998,0.675,5000,5,33,667,79
200,0.7699999999999998,0.675,5000,5,27,664,88
200,0.7599999999999998,0.675,5000,5,27,862,96
200,0.7499999999999998,0.675,5000,5,32,741,88
200,0.7399999999999998,0.675,5000,5,28,779,101
200,0.7299999999999998,0.675,5000,5,29,496,69
200,0.7199999999999998,0.675,5000,5,35,859,89
200,0.7099999999999997,0.675,5000,5,37,1088,99
200,0.6999999999999997,0.675,5000,5,31,755,80
200,0.6899999999999997,0.675,5000,5,27,745,82
200,0.6799999999999997,0.675,5000,5,38,971,108
200,0.6699999999999997,0.675,5000,5,22,609,86
200,0.6599999999999997,0.675,5000,5,33,1034,114
200,0.6499999999999997,0.675,5000,5,35,1201,98
200,0.6399999999999997,0.675,5000,5,36,1142,93
200,0.6299999999999997,0.675,5000,5,29,704,86
200,0.6199999999999997,0.675,5000,5,32,811,107
200,0.6099999999999997,0.675,5000,5,31,685,94
200,0.5999999999999996,0.675,5000,5,33,854,121
200,0.5899999999999996,0.675,5000,5,22,588,85
200,0.5799999999999996,0.675,5000,5,27,735,70
200,0.5699999999999996,0.675,5000,5,30,833,107
200,0.5599999999999996,0.675,5000,5,30,930,109
200,0.5499999999999996,0.675,5000,5,38,848,82
200,0.5399999999999996,0.675,5000,5,34,1018,117
200,0.5299999999999996,0.675,5000,5,26,919,125
200,0.5199999999999996,0.675,5000,5,28,888,104
200,0.5099999999999996,0.675,5000,5,33,953,112
200,0.49999999999999956,0.675,5000,5,30,873,86
200,0.48999999999999955,0.675,5000,5,35,1186,133
200,0.47999999999999954,0.675,5000,5,35,1180,135
200,0.46999999999999953,0.675,5000,5,39,869,90
200,0.4599999999999995,0.675,5000,5,36,2065,188
200,0.4499999999999995,0.675,5000,5,33,1281,117
200,0.4399999999999995,0.675,5000,5,34,1033,111
200,0.4299999999999995,0.675,5000,5,38,856,101
200,0.4199999999999995,0.675,5000,5,27,1120,146
200,0.4099999999999995,0.675,5000,5,35,1048,118
200,0.39999999999999947,0.675,5000,5,25,779,91
200,0.38999999999999946,0.675,5000,5,32,879,121
200,0.37999999999999945,0.675,5000,5,36,1774,192
200,0.36999999999999944,0.675,5000,5,38,1160,141
200,0.35999999999999943,0.675,5000,5,39,1316,111
200,0.3499999999999994,0.675,5000,5,39,1355,125
200,0.3399999999999994,0.675,5000,5,32,1156,93
200,0.3299999999999994,0.675,5000,5,29,1144,126
200,0.3199999999999994,0.675,5000,5,34,1418,146
200,0.3099999999999994,0.675,5000,5,32,1208,149
200,0.2999999999999994,0.675,5000,5,36,1773,158
200,0.28999999999999937,0.675,5000,5,43,1247,105
200,0.27999999999999936,0.675,5000,5,41,1380,144
200,0.26999999999999935,0.675,5000,5,32,1411,166
200,0.25999999999999934,0.675,5000,5,34,1386,162
200,0.24999999999999933,0.675,5000,5,33,1506,159
200,0.23999999999999932,0.675,5000,5,34,1432,152
200,0.22999999999999932,0.675,5000,5,34,1644,194
200,0.2199999999999993,0.675,5000,5,27,1428,167
200,0.2099999999999993,0.675,5000,5,36,1508,152
200,0.1999999999999993,0.675,5000,5,31,1447,204
200,0.18999999999999928,0.675,5000,5,34,1741,190
200,0.17999999999999927,0.675,5000,5,34,1433,192
200,0.16999999999999926,0.675,5000,5,41,2112,162
200,0.15999999999999925,0.675,5000,5,31,1711,177
200,0.14999999999999925,0.675,5000,5,38,1940,205
200,0.13999999999999924,0.675,5000,5,41,2096,184
200,0.12999999999999923,0.675,5000,5,39,2135,210
200,0.11999999999999923,0.675,5000,5,36,1892,188
200,0.10999999999999924,0.675,5000,5,37,1934,195
200,0.09999999999999924,0.675,5000,5,37,2215,252
200,0.08999999999999925,0.675,5000,5,43,2482,219
200,0.07999999999999925,0.675,5000,5,36,2229,203
200,0.06999999999999926,0.675,5000,5,36,2367,212
200,0.059999999999999255,0.675,5000,5,35,2739,213
200,0.04999999999999925,0.675,5000,5,37,2484,229
200,0.03999999999999925,0.675,5000,5,33,2594,203
200,0.02999999999999925,0.675,5000,5,39,2571,216
200,0.019999999999999248,0.675,5000,5,36,2700,241
200,0.009999999999999247,0.675,5000,5,37,2856,204
