POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.01,4000,5,25,316,39
100,0.7,0.02,4000,5,26,546,55
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.04,4000,5,26,600,65
100,0.7,0.05,4000,5,40,779,91
100,0.7,0.060000000000000005,4000,5,40,1298,131
100,0.7,0.07,4000,5,10040,1132,130
100,0.7,0.08,4000,5,38,1984,168
100,0.7,0.09,4000,5,40,2157,219
100,0.7,0.09999999999999999,4000,5,34,1957,159
100,0.7,0.10999999999999999,4000,5,41,2487,204
100,0.7,0.11999999999999998,4000,5,42,2788,260
100,0.7,0.12999999999999998,4000,5,44,2183,230
100,0.7,0.13999999999999999,4000,5,34,2283,198
100,0.7,0.15,4000,5,40,3103,205
100,0.7,0.16,4000,5,42,3050,331
100,0.7,0.17,4000,5,10039,2899,259
100,0.7,0.18000000000000002,4000,5,44,3315,203
100,0.7,0.19000000000000003,4000,5,42,3268,276
100,0.7,0.20000000000000004,4000,5,43,2560,280
100,0.7,0.21000000000000005,4000,5,42,3250,274
100,0.7,0.22000000000000006,4000,5,39,3186,200
100,0.7,0.23000000000000007,4000,5,45,3437,240
100,0.7,0.24000000000000007,4000,5,10040,3354,301
100,0.7,0.25000000000000006,4000,5,37,3236,202
100,0.7,0.26000000000000006,4000,5,42,2873,229
100,0.7,0.2700000000000001,4000,5,48,3137,225
100,0.7,0.2800000000000001,4000,5,43,2860,192
100,0.7,0.2900000000000001,4000,5,10041,3313,259
100,0.7,0.3000000000000001,4000,5,45,4606,384
100,0.7,0.3100000000000001,4000,5,43,3861,298
100,0.7,0.3200000000000001,4000,5,41,4218,272
100,0.7,0.3300000000000001,4000,5,49,4315,288
100,0.7,0.34000000000000014,4000,5,49,4122,335
100,0.7,0.35000000000000014,4000,5,44,4234,356
100,0.7,0.36000000000000015,4000,5,49,3703,250
100,0.7,0.37000000000000016,4000,5,43,3689,348
100,0.7,0.38000000000000017,4000,5,46,4249,343
100,0.7,0.3900000000000002,4000,5,10044,3272,244
100,0.7,0.4000000000000002,4000,5,44,4449,344
100,0.7,0.4100000000000002,4000,5,47,4551,276
100,0.7,0.4200000000000002,4000,5,45,4534,328
100,0.7,0.4300000000000002,4000,5,41,4130,232
100,0.7,0.4400000000000002,4000,5,45,4727,397
100,0.7,0.45000000000000023,4000,5,47,4851,300
100,0.7,0.46000000000000024,4000,5,45,5066,425
100,0.7,0.47000000000000025,4000,5,10049,4064,228
100,0.7,0.48000000000000026,4000,5,10040,4203,294
100,0.7,0.49000000000000027,4000,5,10044,5215,274
100,0.7,0.5000000000000002,4000,5,45,4172,279
100,0.7,0.5100000000000002,4000,5,10045,3671,277
100,0.7,0.5200000000000002,4000,5,49,4702,315
100,0.7,0.5300000000000002,4000,5,43,4349,281
100,0.7,0.5400000000000003,4000,5,49,4230,367
100,0.7,0.5500000000000003,4000,5,10041,4379,314
100,0.7,0.5600000000000003,4000,5,10048,4203,294
100,0.7,0.5700000000000003,4000,5,10044,4330,328
100,0.7,0.5800000000000003,4000,5,10049,3841,246
100,0.7,0.5900000000000003,4000,5,48,3984,307
100,0.7,0.6000000000000003,4000,5,44,4527,235
100,0.7,0.6100000000000003,4000,5,48,4351,269
100,0.7,0.6200000000000003,4000,5,41,4334,291
100,0.7,0.6300000000000003,4000,5,48,4916,311
100,0.7,0.6400000000000003,4000,5,10045,4479,301
100,0.7,0.6500000000000004,4000,5,10048,3836,216
100,0.7,0.6600000000000004,4000,5,48,5493,240
100,0.7,0.6700000000000004,4000,5,47,6233,243
100,0.7,0.6800000000000004,4000,5,49,4854,304
100,0.7,0.6900000000000004,4000,5,48,4082,246
100,0.7,0.7000000000000004,4000,5,45,5002,309
100,0.7,0.7100000000000004,4000,5,49,4849,331
100,0.7,0.7200000000000004,4000,5,47,5617,294
100,0.7,0.7300000000000004,4000,5,49,5368,381
100,0.7,0.7400000000000004,4000,5,10048,5541,302
100,0.7,0.7500000000000004,4000,5,45,5365,298
100,0.7,0.7600000000000005,4000,5,10046,4655,326
100,0.7,0.7700000000000005,4000,5,10042,4080,285
100,0.7,0.7800000000000005,4000,5,46,5035,359
100,0.7,0.7900000000000005,4000,5,44,5182,315
100,0.7,0.8000000000000005,4000,5,46,5059,339
100,0.7,0.8100000000000005,4000,5,20044,6273,251
100,0.7,0.8200000000000005,4000,5,41,5118,347
100,0.7,0.8300000000000005,4000,5,44,5412,324
100,0.7,0.8400000000000005,4000,5,45,4335,326
100,0.7,0.8500000000000005,4000,5,45,5600,268
100,0.7,0.8600000000000005,4000,5,10043,5352,361
100,0.7,0.8700000000000006,4000,5,48,4921,366
100,0.7,0.8800000000000006,4000,5,45,4526,367
100,0.7,0.8900000000000006,4000,5,48,6007,395
100,0.7,0.9000000000000006,4000,5,10044,4574,398
100,0.7,0.9100000000000006,4000,5,20048,6097,299
100,0.7,0.9200000000000006,4000,5,10044,5198,318
100,0.7,0.9300000000000006,4000,5,10048,6359,381
100,0.7,0.9400000000000006,4000,5,46,4750,360
100,0.7,0.9500000000000006,4000,5,10042,5469,287
100,0.7,0.9600000000000006,4000,5,10048,5933,301
100,0.7,0.9700000000000006,4000,5,47,5409,309
100,0.7,0.9800000000000006,4000,5,10041,4413,268
100,0.7,0.9900000000000007,4000,5,10049,5429,354
100,0.7,1.0000000000000007,4000,5,44,4916,343
