POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.01,4000,10,16,271,28
100,0.7,0.02,4000,10,32,397,40
100,0.7,0.03,4000,10,16,231,40
100,0.7,0.04,4000,10,24,625,91
100,0.7,0.05,4000,10,24,844,98
100,0.7,0.060000000000000005,4000,10,41,1627,167
100,0.7,0.07,4000,10,10038,2422,210
100,0.7,0.08,4000,10,38,2572,244
100,0.7,0.09,4000,10,36,2522,244
100,0.7,0.09999999999999999,4000,10,35,2663,201
100,0.7,0.10999999999999999,4000,10,37,3149,231
100,0.7,0.11999999999999998,4000,10,44,4328,331
100,0.7,0.12999999999999998,4000,10,45,4685,438
100,0.7,0.13999999999999999,4000,10,45,4759,346
100,0.7,0.15,4000,10,46,5075,369
100,0.7,0.16,4000,10,43,5072,325
100,0.7,0.17,4000,10,47,5642,354
100,0.7,0.18000000000000002,4000,10,10049,5603,413
100,0.7,0.19000000000000003,4000,10,10049,5191,301
100,0.7,0.20000000000000004,4000,10,10047,5779,411
100,0.7,0.21000000000000005,4000,10,46,6086,349
100,0.7,0.22000000000000006,4000,10,20048,6157,426
100,0.7,0.23000000000000007,4000,10,49,5459,283
100,0.7,0.24000000000000007,4000,10,20049,5991,339
100,0.7,0.25000000000000006,4000,10,10049,6028,330
100,0.7,0.26000000000000006,4000,10,48,6465,435
100,0.7,0.2700000000000001,4000,10,20049,6013,396
100,0.7,0.2800000000000001,4000,10,10049,5979,360
100,0.7,0.2900000000000001,4000,10,10049,6196,380
100,0.7,0.3000000000000001,4000,10,45,6416,329
100,0.7,0.3100000000000001,4000,10,30048,6040,400
100,0.7,0.3200000000000001,4000,10,20049,6259,407
100,0.7,0.3300000000000001,4000,10,40047,6127,378
100,0.7,0.34000000000000014,4000,10,10047,6034,277
100,0.7,0.35000000000000014,4000,10,40049,6240,375
100,0.7,0.36000000000000015,4000,10,10047,5981,356
100,0.7,0.37000000000000016,4000,10,10048,7067,425
100,0.7,0.38000000000000017,4000,10,30047,5761,321
100,0.7,0.3900000000000002,4000,10,10048,6186,375
100,0.7,0.4000000000000002,4000,10,20048,6106,443
100,0.7,0.4100000000000002,4000,10,20049,6454,469
100,0.7,0.4200000000000002,4000,10,20049,6009,337
100,0.7,0.4300000000000002,4000,10,10049,5866,337
100,0.7,0.4400000000000002,4000,10,10048,6295,377
100,0.7,0.45000000000000023,4000,10,40049,6164,427
100,0.7,0.46000000000000024,4000,10,40048,5815,444
100,0.7,0.47000000000000025,4000,10,20049,6324,436
100,0.7,0.48000000000000026,4000,10,20047,6271,467
100,0.7,0.49000000000000027,4000,10,30047,6755,274
