POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.85,0.01,250,4,10137,171831,3397
100,0.85,0.01,500,4,10131,146993,2744
100,0.85,0.01,750,4,117,108988,2179
100,0.85,0.01,1000,4,108,106592,2044
100,0.85,0.01,1250,4,108,106592,2044
100,0.85,0.01,1500,4,108,106592,2044
100,0.85,0.01,1750,4,105,65022,1286
100,0.85,0.01,2000,4,101,62651,1261
100,0.85,0.01,2250,4,101,62651,1261
100,0.85,0.01,2500,4,99,53422,1052
100,0.85,0.01,2750,4,88,52369,1029
100,0.85,0.01,3000,4,88,52369,1029
100,0.85,0.01,3250,4,88,52369,1029
100,0.85,0.01,3500,4,88,52369,1029
100,0.85,0.01,3750,4,82,42447,868
100,0.85,0.01,4000,4,82,40885,805
100,0.85,0.01,4250,4,82,39014,785
100,0.85,0.01,4500,4,82,37981,777
100,0.85,0.01,4750,4,78,35948,743
100,0.85,0.01,5000,4,74,34471,709
100,0.85,0.01,25,4,220140,223094,4330
100,0.85,0.01,50,4,90140,218789,4124
100,0.85,0.01,75,4,40140,215483,4039
100,0.85,0.01,100,4,40140,207121,3840
100,0.85,0.01,125,4,20140,205761,3718
100,0.85,0.01,150,4,10140,202368,3809
100,0.85,0.01,175,4,10140,194261,3613
100,0.85,0.01,200,4,10140,185994,3509
100,0.85,0.01,225,4,10140,178158,3495
