POPULATION_SIZE,CXPB,MUTPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
200,0.95,0.675,250,5,44,5596,311
200,0.95,0.675,500,5,40,4321,263
200,0.95,0.675,750,5,37,3768,250
200,0.95,0.675,1000,5,35,3176,235
200,0.95,0.675,1250,5,32,2682,215
200,0.95,0.675,1500,5,30,2173,187
200,0.95,0.675,1750,5,29,1960,203
200,0.95,0.675,2000,5,27,1601,176
200,0.95,0.675,2250,5,26,1418,158
200,0.95,0.675,2500,5,26,1252,151
200,0.95,0.675,2750,5,25,1200,155
200,0.95,0.675,3000,5,25,1077,133
200,0.95,0.675,3250,5,25,1023,136
200,0.95,0.675,3500,5,24,930,130
200,0.95,0.675,3750,5,23,804,115
200,0.95,0.675,4000,5,22,735,106
200,0.95,0.675,4250,5,20,678,95
200,0.95,0.675,4500,5,20,636,89
200,0.95,0.675,4750,5,20,603,83
200,0.95,0.675,5000,5,20,565,78
200,0.95,0.675,5250,5,19,543,75
200,0.95,0.675,5500,5,19,492,73
200,0.95,0.675,5750,5,19,452,66
200,0.95,0.675,6000,5,19,428,64
200,0.95,0.675,6250,5,19,386,59
200,0.95,0.675,6500,5,18,355,55
200,0.95,0.675,6750,5,18,334,46
200,0.95,0.675,7000,5,18,326,45
200,0.95,0.675,7250,5,18,295,40
200,0.95,0.675,7500,5,17,285,38
200,0.95,0.675,7750,5,17,282,36
200,0.95,0.675,8000,5,17,282,36
200,0.95,0.675,8250,5,17,282,36
200,0.95,0.675,8500,5,17,282,36
200,0.95,0.675,8750,5,17,282,36
200,0.95,0.675,9000,5,17,282,36
200,0.95,0.675,9250,5,17,246,36
200,0.95,0.675,9500,5,17,233,32
200,0.95,0.675,9750,5,17,233,32
