POPULATION_SIZE,CXPB,MUTPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
50,0.95,0.675,5000,5,33,2363,219
100,0.95,0.675,5000,5,30,1232,149
150,0.95,0.675,5000,5,30,1026,94
200,0.95,0.675,5000,5,20,565,78
250,0.95,0.675,5000,5,33,1271,109
300,0.95,0.675,5000,5,24,449,60
350,0.95,0.675,5000,5,29,874,103
400,0.95,0.675,5000,5,24,601,73
450,0.95,0.675,5000,5,26,571,69
500,0.95,0.675,5000,5,20,381,57
550,0.95,0.675,5000,5,30,541,72
600,0.95,0.675,5000,5,34,996,105
650,0.95,0.675,5000,5,32,2062,165
700,0.95,0.675,5000,5,39,5203,275
750,0.95,0.675,5000,5,39,5438,270
800,0.95,0.675,5000,5,36,4685,224
850,0.95,0.675,5000,5,39,5226,253
900,0.95,0.675,5000,5,38,5399,228
950,0.95,0.675,5000,5,39,5326,253
