POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.03,250,5,40140,193030,4088
100,0.7,0.03,500,5,40133,170386,3842
100,0.7,0.03,750,5,10133,155564,3518
100,0.7,0.03,1000,5,132,142873,3109
100,0.7,0.03,1250,5,132,135308,3111
100,0.7,0.03,1500,5,132,126183,2954
100,0.7,0.03,1750,5,131,118114,2665
100,0.7,0.03,2000,5,130,111197,2669
100,0.7,0.03,2250,5,129,107589,2558
100,0.7,0.03,2500,5,129,101604,2464
100,0.7,0.03,2750,5,128,96563,2320
100,0.7,0.03,3000,5,128,92967,2306
100,0.7,0.03,3250,5,127,89944,2215
100,0.7,0.03,3500,5,125,87874,2256
100,0.7,0.03,3750,5,125,85245,2205
100,0.7,0.03,4000,5,125,83120,2185
100,0.7,0.03,4250,5,125,80698,2156
100,0.7,0.03,4500,5,124,79493,2149
100,0.7,0.03,4750,5,124,76807,2130
100,0.7,0.03,5000,5,124,75224,2045
100,0.7,0.03,5250,5,123,73754,2094
100,0.7,0.03,5500,5,122,72818,2071
100,0.7,0.03,5750,5,120,70920,2115
100,0.7,0.03,6000,5,118,69625,2068
100,0.7,0.03,6250,5,118,68254,2060
100,0.7,0.03,6500,5,117,67113,2017
100,0.7,0.03,6750,5,117,65975,1958
100,0.7,0.03,7000,5,116,65696,1961
