POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.03,250,5,64,13224,547
100,0.7,0.03,500,5,62,10030,417
100,0.7,0.03,750,5,58,8058,356
100,0.7,0.03,1000,5,55,6399,282
100,0.7,0.03,1250,5,51,5256,217
100,0.7,0.03,1500,5,51,4661,200
100,0.7,0.03,1750,5,51,4336,202
100,0.7,0.03,2000,5,51,3777,169
100,0.7,0.03,2250,5,51,3501,154
100,0.7,0.03,2500,5,51,3345,158
100,0.7,0.03,2750,5,51,3008,134
100,0.7,0.03,3000,5,51,2833,127
100,0.7,0.03,3250,5,51,2726,119
100,0.7,0.03,3500,5,51,2604,109
100,0.7,0.03,3750,5,51,2485,95
100,0.7,0.03,4000,5,51,2432,89
100,0.7,0.03,4250,5,51,2418,81
100,0.7,0.03,4500,5,51,2405,87
100,0.7,0.03,4750,5,51,2373,83
100,0.7,0.03,5000,5,51,2355,81
100,0.7,0.03,5250,5,51,2328,81
100,0.7,0.03,5500,5,51,2290,81
100,0.7,0.03,5750,5,51,2225,72
100,0.7,0.03,6000,5,51,2212,73
100,0.7,0.03,6250,5,51,2200,72
100,0.7,0.03,6500,5,51,2189,66
100,0.7,0.03,6750,5,51,2125,75
100,0.7,0.03,7000,5,51,1991,75
100,0.7,0.03,7250,5,51,1921,68
100,0.7,0.03,7500,5,51,1848,57
100,0.7,0.03,7750,5,51,1795,53
100,0.7,0.03,8000,5,51,1789,51
100,0.7,0.03,8250,5,51,1774,49
100,0.7,0.03,8500,5,51,1774,49
100,0.7,0.03,8750,5,51,1755,51
100,0.7,0.03,9000,5,51,1735,50
100,0.7,0.03,9250,5,51,1709,44
100,0.7,0.03,9500,5,51,1709,44
100,0.7,0.03,9750,5,51,1702,44
100,0.7,0.03,25,5,30071,17467,735
100,0.7,0.03,50,5,10069,17171,698
100,0.7,0.03,75,5,10069,16603,741
100,0.7,0.03,100,5,10068,16231,736
100,0.7,0.03,125,5,10066,15549,628
100,0.7,0.03,150,5,10065,15360,621
100,0.7,0.03,175,5,65,14668,602
100,0.7,0.03,200,5,65,14077,620
100,0.7,0.03,225,5,64,13654,579
