POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.03,250,5,27,200,9
100,0.7,0.03,500,5,22,133,4
100,0.7,0.03,750,5,22,112,0
100,0.7,0.03,1000,5,22,112,0
100,0.7,0.03,1250,5,22,112,0
100,0.7,0.03,1500,5,22,112,0
100,0.7,0.03,1750,5,22,112,0
100,0.7,0.03,2000,5,22,112,0
100,0.7,0.03,2250,5,22,112,0
100,0.7,0.03,2500,5,22,112,0
100,0.7,0.03,2750,5,22,112,0
100,0.7,0.03,3000,5,22,112,0
100,0.7,0.03,3250,5,22,112,0
100,0.7,0.03,3500,5,22,112,0
100,0.7,0.03,3750,5,22,112,0
100,0.7,0.03,4000,5,22,112,0
100,0.7,0.03,4250,5,22,112,0
100,0.7,0.03,4500,5,22,112,0
100,0.7,0.03,4750,5,22,112,0
100,0.7,0.03,5000,5,21,106,0
100,0.7,0.03,5250,5,21,106,0
100,0.7,0.03,5500,5,21,106,0
100,0.7,0.03,5750,5,21,106,0
100,0.7,0.03,6000,5,21,106,0
100,0.7,0.03,6250,5,21,106,0
100,0.7,0.03,6500,5,21,106,0
100,0.7,0.03,6750,5,21,106,0
100,0.7,0.03,7000,5,21,106,0
100,0.7,0.03,7250,5,21,106,0
100,0.7,0.03,7500,5,21,106,0
100,0.7,0.03,7750,5,21,106,0
100,0.7,0.03,8000,5,21,106,0
100,0.7,0.03,8250,5,21,106,0
100,0.7,0.03,8500,5,21,106,0
100,0.7,0.03,8750,5,21,106,0
100,0.7,0.03,9000,5,21,106,0
100,0.7,0.03,9250,5,21,106,0
100,0.7,0.03,9500,5,21,106,0
100,0.7,0.03,9750,5,21,106,0
100,0.7,0.03,25,5,31,344,39
100,0.7,0.03,50,5,27,307,36
100,0.7,0.03,75,5,27,260,24
100,0.7,0.03,100,5,27,240,17
100,0.7,0.03,125,5,27,226,12
100,0.7,0.03,150,5,27,215,10
100,0.7,0.03,175,5,27,208,11
100,0.7,0.03,200,5,27,208,11
100,0.7,0.03,225,5,27,207,12
