POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
50,0.85,0.01,4000,1,110048,6982,473
50,0.85,0.01,4000,2,18,644,61
50,0.85,0.01,4000,3,17,279,44
50,0.85,0.01,4000,4,17,283,36
50,0.85,0.01,4000,5,15,187,35
50,0.85,0.01,4000,6,16,211,42
50,0.85,0.01,4000,7,16,159,34
50,0.85,0.01,4000,8,17,300,43
50,0.85,0.01,4000,9,17,256,39
50,0.85,0.01,4000,10,17,311,41
100,0.85,0.01,4000,1,120048,7174,388
100,0.85,0.01,4000,2,18,471,55
100,0.85,0.01,4000,3,16,193,30
100,0.85,0.01,4000,4,15,110,29
100,0.85,0.01,4000,5,15,147,34
100,0.85,0.01,4000,6,16,231,34
100,0.85,0.01,4000,7,15,158,31
100,0.85,0.01,4000,8,16,178,31
100,0.85,0.01,4000,9,15,136,25
100,0.85,0.01,4000,10,16,307,39
150,0.85,0.01,4000,1,120049,8989,292
150,0.85,0.01,4000,2,18,471,62
150,0.85,0.01,4000,3,16,172,40
150,0.85,0.01,4000,4,16,166,38
150,0.85,0.01,4000,5,16,256,47
150,0.85,0.01,4000,6,16,214,47
150,0.85,0.01,4000,7,16,169,29
150,0.85,0.01,4000,8,16,161,37
150,0.85,0.01,4000,9,14,120,35
150,0.85,0.01,4000,10,15,112,29
200,0.85,0.01,4000,1,110049,8624,327
200,0.85,0.01,4000,2,16,380,64
200,0.85,0.01,4000,3,15,116,34
200,0.85,0.01,4000,4,15,140,32
200,0.85,0.01,4000,5,15,118,24
200,0.85,0.01,4000,6,15,197,41
200,0.85,0.01,4000,7,15,109,29
200,0.85,0.01,4000,8,15,193,34
200,0.85,0.01,4000,9,15,113,35
200,0.85,0.01,4000,10,15,199,40
250,0.85,0.01,4000,1,70049,8264,282
250,0.85,0.01,4000,2,17,212,46
250,0.85,0.01,4000,3,16,195,29
250,0.85,0.01,4000,4,16,141,32
250,0.85,0.01,4000,5,15,127,32
250,0.85,0.01,4000,6,16,157,34
250,0.85,0.01,4000,7,15,182,31
250,0.85,0.01,4000,8,16,225,37
250,0.85,0.01,4000,9,15,164,30
250,0.85,0.01,4000,10,16,364,53
300,0.85,0.01,4000,1,110049,8523,324
300,0.85,0.01,4000,2,15,236,34
300,0.85,0.01,4000,3,18,127,31
300,0.85,0.01,4000,4,17,285,42
300,0.85,0.01,4000,5,15,237,34
300,0.85,0.01,4000,6,16,237,38
300,0.85,0.01,4000,7,16,361,49
300,0.85,0.01,4000,8,15,199,45
300,0.85,0.01,4000,9,15,191,35
300,0.85,0.01,4000,10,14,105,24
350,0.85,0.01,4000,1,110049,6467,417
350,0.85,0.01,4000,2,16,185,31
350,0.85,0.01,4000,3,14,86,25
350,0.85,0.01,4000,4,16,224,37
350,0.85,0.01,4000,5,15,119,24
350,0.85,0.01,4000,6,15,162,28
350,0.85,0.01,4000,7,15,88,26
350,0.85,0.01,4000,8,16,166,35
350,0.85,0.01,4000,9,16,273,42
350,0.85,0.01,4000,10,15,83,27
400,0.85,0.01,4000,1,90049,8051,290
400,0.85,0.01,4000,2,16,220,48
400,0.85,0.01,4000,3,15,175,47
400,0.85,0.01,4000,4,15,93,25
400,0.85,0.01,4000,5,14,135,32
400,0.85,0.01,4000,6,15,100,25
400,0.85,0.01,4000,7,15,112,34
400,0.85,0.01,4000,8,16,230,44
400,0.85,0.01,4000,9,16,233,40
400,0.85,0.01,4000,10,15,134,38
450,0.85,0.01,4000,1,100047,6921,323
450,0.85,0.01,4000,2,16,234,42
450,0.85,0.01,4000,3,16,131,30
450,0.85,0.01,4000,4,16,257,42
450,0.85,0.01,4000,5,15,129,32
450,0.85,0.01,4000,6,15,223,33
450,0.85,0.01,4000,7,15,159,32
450,0.85,0.01,4000,8,14,160,36
450,0.85,0.01,4000,9,15,120,33
450,0.85,0.01,4000,10,19,305,45
500,0.85,0.01,4000,1,100048,6582,453
500,0.85,0.01,4000,2,15,192,47
500,0.85,0.01,4000,3,16,121,30
500,0.85,0.01,4000,4,14,142,41
500,0.85,0.01,4000,5,16,287,43
500,0.85,0.01,4000,6,15,142,36
500,0.85,0.01,4000,7,16,154,33
500,0.85,0.01,4000,8,14,85,18
500,0.85,0.01,4000,9,15,172,29
500,0.85,0.01,4000,10,17,288,32
