POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,0.7,0.03,4000,1,16,330,37
100,0.7,0.03,4000,2,16,330,37
100,0.7,0.03,4000,3,16,330,37
100,0.7,0.03,4000,4,16,330,37
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.03,4000,6,16,330,37
100,0.7,0.03,4000,7,16,330,37
100,0.7,0.03,4000,8,16,330,37
100,0.7,0.03,4000,9,16,330,37
100,0.7,0.03,4000,1,16,330,37
100,0.7,0.03,4000,2,16,330,37
100,0.7,0.03,4000,3,16,330,37
100,0.7,0.03,4000,4,16,330,37
100,0.7,0.03,4000,5,16,330,37
100,0.7,0.03,4000,6,16,330,37
100,0.7,0.03,4000,7,16,330,37
100,0.7,0.03,4000,8,16,330,37
100,0.7,0.03,4000,9,16,330,37
